"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","enable_googlecheckout","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","adurl"
"admin","base","Default","simple","","8178483","0","Бюстье, 3 штуки Speidel","","","/6/3/6310acb7-245168.jpg","/6/3/6310acb7-245168.jpg","/6/3/6310acb7-245168.jpg","bjust-e-3-shtuki-speidel","bjust-e-3-shtuki-speidel.html","","No layout updates","","","","","","","Use config","No","1599.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстье, 3 штуки. Небольшая аппликация и блестящая окантовка. Без боковых швов - незаметно под одеждой!","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстье, 3 штуки Speidel","0","simple","","",""
"admin","base","Default","simple","3,6","8321325","0","Бюстгальтер","","","/0/f/0fa5f158-252281.jpg","/0/f/0fa5f158-252281.jpg","/0/f/0fa5f158-252281.jpg","bjustgal-ter","bjustgal-ter-97.html","","No layout updates","","","","","","","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер. На косточках. Слегка прозрачные чашечки, украшенные цветочной вышивкой.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер","0","simple","","",""
"admin","base","Default","simple","3,5","8644292","0","Трусики","","","/d/b/dbecaa0f-255293.jpg","/d/b/dbecaa0f-255293.jpg","/d/b/dbecaa0f-255293.jpg","trusiki","trusiki-116.html","","No layout updates","","","","","","","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","PLAYTEX. С жаккардовым рисунком. Плотный материал.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики","0","simple","","",""
"admin","base","Default","simple","3,6","9031976","0","Бюстгальтер на косточках Lascana","","","/5/d/5d90cda5-228505.jpg","/5/d/5d90cda5-228505.jpg","/5/d/5d90cda5-228505.jpg","bjustgal-ter-na-kostochkah-lascana","bjustgal-ter-na-kostochkah-lascana-89.html","","No layout updates","","","","","","","Use config","No","999.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Кружевное нижнее белье LASCANA. Бюстгальтер на косточках. Регулируемые бретели и застежка сзади. Важная деталь: красивая двухцветная подвеска со стразами. Ручная стирка.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер на косточках Lascana","0","simple","","",""
"admin","base","Default","simple","3,6","9032054","0","Бюстгальтер, 2 штуки PETITE FLEUR","","","/a/4/a49bdd7f-235728.jpg","/a/4/a49bdd7f-235728.jpg","/a/4/a49bdd7f-235728.jpg","bjustgal-ter-2-shtuki-petite-fleur","bjustgal-ter-2-shtuki-petite-fleur-92.html","","No layout updates","","","","","","","Use config","No","1199.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер, 2 штуки PETITE FLEUR. На косточках. Мягкие чашечки. Бретель через шею и застежка сзади регулируются.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер, 2 штуки PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","","9032091","0","Трусики, 2 штуки Lascana","","","/f/b/fbdd0d85-236162.jpg","/f/b/fbdd0d85-236162.jpg","/f/b/fbdd0d85-236162.jpg","trusiki-2-shtuki-lascana","trusiki-2-shtuki-lascana.html","","No layout updates","","","","","","","Use config","No","899.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики, 2 штуки. LASCANA. Спереди бантик и небольшая сборка, сзади кружево.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики, 2 штуки Lascana","0","simple","","",""
"admin","base","Default","simple","","9032231","0","Стринги s.Oliver","","","/4/6/465e2ea5-238593.jpg","/4/6/465e2ea5-238593.jpg","/4/6/465e2ea5-238593.jpg","stringi-s-oliver","stringi-s-oliver.html","","No layout updates","","","","","","","Use config","No","399.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Стринги. s.OLIVER Стринги. Из тонкой сетки и кружев.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Стринги s.Oliver","0","simple","","",""
"admin","base","Default","simple","3,5","9032384","0","Стринги s.Oliver","","","/4/8/48024635-243056.jpg","/4/8/48024635-243056.jpg","/4/8/48024635-243056.jpg","stringi-s-oliver","stringi-s-oliver-93.html","","No layout updates","","","","","","","Use config","No","399.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Стринги S.OLIVER. Женственный образ. Спереди нежное кружево, декоративные разрезы по бокам. Машинная стирка.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Стринги s.Oliver","0","simple","","",""
"admin","base","Default","simple","3,6","9032430","0","Бюстгальтер Push-up s.Oliver","","","/8/c/8c786ba9-244394.jpg","/8/c/8c786ba9-244394.jpg","/8/c/8c786ba9-244394.jpg","bjustgal-ter-push-up-s-oliver","bjustgal-ter-push-up-s-oliver.html","","No layout updates","","","","","","","Use config","No","699.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер Push-up S.OLIVER. Женственный образ. Чашечки украшены нежным кружевом, удобные бретели. Спереди декоративный бантик. Ручная стирка. Материал: Microtouch, 95% полиэстер, 5% эластан.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер Push-up s.Oliver","0","simple","","",""
"admin","base","Default","simple","3,6","9032951","0","Бюстгальтер без косточек NUANCE","","","/c/0/c07ea64e-255150.jpg","/c/0/c07ea64e-255150.jpg","/c/0/c07ea64e-255150.jpg","bjustgal-ter-bez-kostochek-nuance","bjustgal-ter-bez-kostochek-nuance.html","","No layout updates","","","","","","","Use config","No","999.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер без косточек. NUANCE.Из комбинированного материала: красивого жаккарда и сказочно мягкого материала Microtouch. Благородный сливовый или нежный белый на выбор. Все модели отлично комбинируются! Бюстгальтеры с регулируемыми бретелями и застежками сзади. Элегантно! Отделка чашечек кружевом. Широкие бретели для наилучшей поддержки, также для больших размеров.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер без косточек NUANCE","0","simple","","",""
